time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000709,-0.0543,-0.2205,-0.0178,0.228
0.004499,-0.0823,-0.2518,0.0477,0.269
0.014871,-0.0774,-0.2292,0.0165,0.242
0.024458,-0.0540,-0.1713,-0.0739,0.194
0.034698,0.0146,-0.1372,-0.1660,0.216
0.046561,0.0817,-0.1176,-0.2454,0.284
0.055745,0.1518,-0.1338,-0.2214,0.300
0.064010,0.1826,-0.1455,-0.1820,0.296
0.074134,0.1506,-0.1942,-0.1687,0.298
0.084128,0.0728,-0.2221,-0.1762,0.293
0.093815,-0.0043,-0.2403,-0.2015,0.314
0.104036,-0.0440,-0.2110,-0.2284,0.314
0.114098,-0.0564,-0.1701,-0.2225,0.286
0.123599,-0.0038,-0.1349,-0.2129,0.252
0.136450,0.0577,-0.1622,-0.1499,0.228
0.151330,0.0607,-0.1697,-0.0663,0.192
0.153378,0.0250,-0.1827,0.0418,0.189
0.163445,-0.0360,-0.1874,0.0959,0.214
0.173190,-0.0750,-0.1954,0.0826,0.225
0.183280,-0.0913,-0.2016,0.0338,0.224
0.192968,-0.0899,-0.1730,-0.0314,0.197
0.204703,-0.0829,-0.1801,-0.0641,0.208
0.212882,-0.0595,-0.2018,-0.1113,0.238
0.224144,-0.0424,-0.2043,-0.1595,0.263
0.232455,-0.0533,-0.2073,-0.1451,0.259
0.242325,-0.0483,-0.1851,-0.1165,0.224
0.252070,-0.0389,-0.1848,-0.0956,0.212
0.262194,-0.0366,-0.1908,-0.0229,0.196
0.272033,-0.0060,-0.2206,0.0249,0.222
0.282042,0.0148,-0.2598,0.0652,0.268
0.292054,0.0524,-0.2650,0.0880,0.284
0.302093,0.0906,-0.2453,0.0426,0.265
0.313518,0.0913,-0.2432,-0.0009,0.260
0.322401,0.0557,-0.2294,-0.0449,0.240
0.331849,0.0169,-0.2082,-0.0456,0.214
0.341355,-0.0674,-0.1580,-0.0359,0.176
0.351324,-0.1321,-0.1117,-0.0062,0.173
0.361122,-0.1679,-0.0916,0.0144,0.192
0.371327,-0.1894,-0.1066,0.0652,0.227
0.381309,-0.1605,-0.1664,0.0889,0.248
0.391944,-0.0512,-0.2471,0.1208,0.280
0.400667,0.0437,-0.3068,0.1435,0.342
0.410772,0.1129,-0.3117,0.1158,0.351
0.420722,0.1463,-0.2625,0.0253,0.302
0.430915,0.1403,-0.2124,-0.0471,0.259
0.440320,0.0964,-0.1732,-0.0791,0.213
0.452794,0.0210,-0.1765,-0.1089,0.208
0.460106,-0.0657,-0.1600,-0.1747,0.246
0.470695,-0.1154,-0.1501,-0.1981,0.274
0.481871,-0.1154,-0.1748,-0.1892,0.282
0.490942,-0.0735,-0.1544,-0.1334,0.217
0.500034,-0.0160,-0.1444,-0.0356,0.150
0.509642,0.0627,-0.1462,0.0619,0.171
0.519678,0.1032,-0.1862,0.0757,0.226
0.529505,0.1313,-0.2212,0.0364,0.260
0.540797,0.1206,-0.2527,0.0416,0.283
0.553430,0.0782,-0.2810,0.0510,0.296
0.560540,0.0469,-0.2956,0.0573,0.305
0.571662,0.0243,-0.2464,0.0197,0.248
0.584985,-0.0260,-0.1810,0.0141,0.183
0.589437,-0.0358,-0.1514,-0.0311,0.159
0.599387,-0.0329,-0.1187,-0.0801,0.147
0.609124,-0.0219,-0.1289,-0.1311,0.185
0.619163,-0.0408,-0.1445,-0.1381,0.204
0.628628,-0.0525,-0.1662,-0.1216,0.213
0.641550,-0.0719,-0.2025,-0.0916,0.234
0.652934,-0.0927,-0.2192,-0.0216,0.239
0.658032,-0.0849,-0.2374,0.0241,0.253
0.668358,-0.0643,-0.2773,0.0784,0.295
0.678017,-0.0301,-0.2830,0.1054,0.303
0.688087,0.0163,-0.2800,0.0920,0.295
0.697832,0.0564,-0.2194,0.0710,0.237
0.707963,0.0866,-0.1614,0.0229,0.185
0.717615,0.1101,-0.1119,-0.0237,0.159
0.728941,0.1105,-0.0598,-0.0684,0.143
0.743461,0.0842,-0.0668,-0.0762,0.132
0.747644,0.0732,-0.1029,-0.0440,0.134
0.757314,0.0543,-0.1838,-0.0007,0.192
0.767576,0.0647,-0.2373,0.0501,0.251
0.777414,0.0813,-0.2787,0.0734,0.299
0.787393,0.0857,-0.3256,0.0678,0.343
0.797017,0.0369,-0.3029,0.0552,0.310
0.807271,0.0087,-0.2454,0.0224,0.247
0.818678,-0.0406,-0.2021,-0.0332,0.209
0.829862,-0.1195,-0.1828,-0.0291,0.220
0.836565,-0.1884,-0.1600,-0.0265,0.249
0.846852,-0.2317,-0.1146,0.0035,0.258
0.857633,-0.2512,-0.1019,0.0155,0.272
0.867093,-0.2401,-0.1176,-0.0299,0.269
0.876254,-0.2115,-0.1561,-0.0297,0.265
0.886388,-0.1900,-0.2224,0.0422,0.296
0.896670,-0.1384,-0.2330,0.0957,0.287
0.908147,-0.0694,-0.2215,0.0633,0.241
0.915699,0.0399,-0.2093,-0.0334,0.216
0.926038,0.1333,-0.1770,-0.0963,0.242
0.935706,0.1667,-0.1656,-0.1444,0.276
0.945902,0.1625,-0.1825,-0.2404,0.343
0.963848,0.1369,-0.1621,-0.3252,0.388
0.971065,0.1091,-0.1566,-0.3359,0.386
0.978563,0.0821,-0.1097,-0.3876,0.411
0.987426,0.0680,-0.0931,-0.3991,0.415
0.995113,0.0379,-0.0588,-0.3959,0.402
1.005505,0.0140,-0.0624,-0.3679,0.373
1.015010,0.0039,-0.0627,-0.3462,0.352
1.024680,-0.0188,-0.0721,-0.3071,0.316
1.034642,-0.0108,-0.0924,-0.2520,0.269
1.045885,0.0018,-0.1065,-0.1924,0.220
1.061462,0.0214,-0.1347,-0.0924,0.165
1.068697,0.0248,-0.1828,0.0456,0.190
1.075993,0.0219,-0.2454,0.1838,0.307
1.084626,0.0185,-0.2778,0.2313,0.362
1.094073,0.0016,-0.3041,0.2035,0.366
1.104092,-0.0093,-0.3314,0.1546,0.366
1.113943,-0.0443,-0.2964,0.0894,0.313
1.123903,-0.0875,-0.2287,0.0823,0.258
1.133641,-0.1083,-0.1727,0.0841,0.221
1.146587,-0.1387,-0.1389,0.0307,0.199
1.163680,-0.1643,-0.1364,-0.0300,0.216
1.164145,-0.1270,-0.1709,-0.0568,0.220
1.173681,-0.0673,-0.1749,-0.0489,0.194
1.183553,0.0241,-0.1875,-0.0211,0.190
1.193300,0.1276,-0.2343,-0.0051,0.267
1.203270,0.1699,-0.2641,0.0144,0.314
1.212949,0.2011,-0.2692,0.0364,0.338
1.223094,0.2142,-0.2632,0.0518,0.343
1.233528,0.1880,-0.2489,0.0071,0.312
1.248035,0.1724,-0.2368,-0.0540,0.298
1.253306,0.1356,-0.2276,-0.0880,0.279
1.263758,0.0781,-0.2298,-0.1201,0.271
1.272488,0.0560,-0.2422,-0.1247,0.278
1.282324,0.0844,-0.2386,-0.1522,0.295
1.291930,0.1061,-0.2416,-0.1801,0.320
1.301780,0.1276,-0.2130,-0.2071,0.323
1.312219,0.1876,-0.1920,-0.1833,0.325
1.323171,0.2231,-0.1781,-0.1180,0.309
1.333789,0.2138,-0.1726,-0.0615,0.282
1.341506,0.1847,-0.1640,-0.0276,0.249
1.351534,0.1684,-0.1656,0.0119,0.236
1.364493,0.1026,-0.1992,0.0866,0.240
1.371450,0.0289,-0.2227,0.1668,0.280
1.381374,-0.0410,-0.1949,0.1641,0.258
1.391148,-0.1017,-0.1142,0.0280,0.155
1.401617,-0.0959,-0.1025,-0.0641,0.154
1.412616,-0.0892,-0.1287,-0.0340,0.160
1.421299,-0.0759,-0.1718,0.0745,0.202
1.431182,-0.0625,-0.2418,0.0883,0.265
1.440874,-0.0552,-0.2843,0.0504,0.294
1.451100,-0.0200,-0.3052,0.0127,0.306
1.467017,0.0101,-0.3080,-0.0054,0.308
1.473473,0.0030,-0.2669,-0.0539,0.272
1.480394,-0.0287,-0.2144,-0.0621,0.225
1.491149,-0.0290,-0.1586,-0.0870,0.183
1.502436,-0.0566,-0.1250,-0.0761,0.157
1.510074,-0.0464,-0.1444,-0.0482,0.159
1.520235,-0.0457,-0.1637,0.0239,0.172
1.529825,-0.0225,-0.1884,0.0985,0.214
1.539651,0.0118,-0.1994,0.1140,0.230
1.555379,0.0408,-0.2152,0.1121,0.246
1.563294,0.0804,-0.2478,0.0730,0.271
1.570555,0.0987,-0.2315,0.0200,0.252
1.585375,0.0942,-0.2174,-0.0164,0.238
1.589353,0.0681,-0.2074,-0.0642,0.228
1.599477,0.0217,-0.1867,-0.1014,0.214
1.609179,0.0076,-0.1632,-0.1287,0.208
1.619144,-0.0350,-0.1637,-0.1388,0.217
1.629006,-0.0268,-0.1746,-0.1408,0.226
