time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000825,-0.0366,-0.0301,-0.1750,0.181
0.007206,0.0223,0.0128,-0.1440,0.146
0.017200,0.0744,-0.0103,-0.0789,0.109
0.027290,0.0800,-0.0165,0.0423,0.092
0.040075,0.0267,-0.0402,0.1525,0.160
0.047132,-0.0106,-0.0245,0.2132,0.215
0.059427,-0.0465,-0.0062,0.2138,0.219
0.066646,-0.0499,0.0119,0.1472,0.156
0.076685,-0.0413,0.0357,0.0515,0.075
0.086327,-0.0167,0.0356,-0.0445,0.059
0.096136,0.0168,0.0138,-0.1404,0.142
0.109660,0.0324,-0.0153,-0.1401,0.145
0.116945,0.0578,-0.0282,-0.1128,0.130
0.125774,0.0441,0.0004,0.0023,0.044
0.137446,0.0223,0.0189,0.0878,0.093
0.145587,0.0328,0.0517,0.1128,0.128
0.158390,0.0190,0.0430,0.1266,0.135
0.166803,-0.0308,0.0240,0.0694,0.080
0.176544,-0.0562,0.0024,0.0225,0.061
0.185429,-0.0859,0.0235,0.0002,0.089
0.196023,-0.1053,0.0164,0.0116,0.107
0.210631,-0.0749,-0.0112,0.0267,0.080
0.216234,-0.0464,-0.0546,0.0465,0.085
0.227460,0.0135,-0.0632,0.0643,0.091
0.235625,0.0673,-0.0730,0.1223,0.157
0.245704,0.0842,-0.0421,0.0941,0.133
0.255073,0.0912,-0.0058,0.0209,0.094
0.264684,0.0631,0.0103,-0.0168,0.066
0.274790,0.0465,0.0170,-0.0307,0.058
0.284963,0.0110,0.0067,-0.0352,0.037
0.295884,-0.0241,-0.0102,0.0272,0.038
0.308610,-0.0449,-0.0267,0.0466,0.070
0.315690,-0.0508,-0.0174,0.0279,0.060
0.330217,-0.0763,-0.0083,0.0300,0.082
0.334966,-0.0504,-0.0033,0.0160,0.053
0.343613,-0.0273,-0.0286,-0.0128,0.042
0.354384,-0.0041,-0.0455,-0.0176,0.049
0.363609,0.0314,-0.0497,-0.0141,0.060
0.373568,0.0209,-0.0288,0.0034,0.036
0.383495,0.0321,0.0015,-0.0060,0.033
0.397902,0.0040,0.0217,0.0298,0.037
0.409082,0.0107,-0.0118,0.0682,0.070
0.413464,0.0427,-0.0493,0.1149,0.132
0.423008,0.0250,-0.0182,0.0813,0.087
0.432758,0.0241,0.0295,0.0264,0.046
0.443135,0.0399,0.0774,-0.0240,0.090
0.452855,0.0188,0.0753,-0.0463,0.090
0.463496,0.0158,0.0696,-0.0796,0.107
0.474157,0.0324,0.0168,-0.0866,0.094
0.485497,0.0203,0.0025,-0.0722,0.075
0.492254,0.0411,-0.0062,-0.0380,0.056
0.503654,0.0531,-0.0351,0.0297,0.070
0.512371,0.0374,-0.0460,0.1043,0.120
0.522951,0.0266,-0.0566,0.1700,0.181
0.532028,0.0517,-0.0588,0.1552,0.174
0.542097,0.0432,-0.0186,0.1052,0.115
0.552890,0.0041,0.0283,0.0520,0.059
0.564464,-0.0392,0.0757,0.0249,0.089
0.572011,-0.0567,0.0661,-0.0355,0.094
0.581531,-0.0419,0.0387,-0.1317,0.144
0.591553,-0.0315,0.0063,-0.1386,0.142
0.603632,0.0035,-0.0172,-0.0536,0.056
0.610652,0.0287,-0.0381,0.0157,0.050
0.623627,0.0454,-0.0687,0.1030,0.132
0.631338,0.0425,-0.0782,0.1475,0.172
0.641849,0.0483,-0.0604,0.1447,0.164
0.653691,-0.0016,-0.0038,0.0917,0.092
0.661355,-0.0649,0.0167,0.0463,0.081
0.670660,-0.0740,0.0061,-0.0164,0.076
0.680194,-0.0401,0.0250,-0.0915,0.103
0.690467,-0.0352,0.0244,-0.0697,0.082
0.700437,-0.0486,-0.0034,-0.0145,0.051
0.710246,0.0141,-0.0250,0.0171,0.033
0.720039,0.0742,-0.0394,0.0246,0.088
0.731390,0.0159,-0.0042,0.0608,0.063
0.740133,0.0541,-0.0037,0.0830,0.099
0.750200,0.1270,-0.0152,0.0543,0.139
0.759923,0.0852,-0.0057,0.0355,0.092
0.769728,-0.0137,-0.0134,0.0257,0.032
0.779830,-0.0245,-0.0214,0.0432,0.054
0.789452,-0.0199,-0.0280,0.0677,0.076
0.800667,-0.0268,-0.0289,0.0780,0.087
0.819014,-0.0041,-0.0106,0.0491,0.050
0.822200,-0.0174,0.0175,0.0539,0.059
0.829558,0.0001,0.0125,0.0195,0.023
0.839232,0.0146,0.0289,-0.0427,0.054
0.849034,0.0244,0.0443,-0.0311,0.059
0.858889,0.0225,0.0434,-0.0102,0.050
0.868701,0.0124,0.0426,0.0166,0.047
0.878293,0.0051,0.0141,0.0309,0.034
0.890563,0.0328,-0.0221,0.0482,0.062
0.903146,0.0193,-0.0389,0.0416,0.060
0.909570,0.0033,-0.0633,0.0562,0.085
0.918433,0.0014,-0.0912,0.0666,0.113
0.928615,-0.0004,-0.0825,0.0640,0.104
0.938647,-0.0206,-0.0615,0.0360,0.074
0.948159,-0.0111,-0.0529,0.0072,0.054
0.957867,0.0027,-0.0484,-0.0114,0.050
0.967850,0.0341,-0.0270,0.0049,0.044
0.980868,0.0187,-0.0092,-0.0015,0.021
