time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001378,-0.0413,-0.0493,-0.2939,0.301
0.004009,-0.0341,-0.0419,-0.2840,0.289
0.007831,-0.0556,-0.0201,-0.2676,0.274
0.013352,-0.0365,0.0135,-0.2041,0.208
0.017526,-0.0248,0.0206,-0.1246,0.129
0.024870,-0.0394,0.0349,-0.0646,0.083
0.027809,-0.0372,0.0181,-0.0050,0.042
0.032095,-0.0517,0.0227,0.0378,0.068
0.036972,-0.0614,0.0011,0.0662,0.090
0.043142,-0.0711,0.0033,0.0615,0.094
0.046520,-0.0808,-0.0112,0.0451,0.093
0.052685,-0.0880,-0.0184,0.0478,0.102
0.056682,-0.0952,-0.0256,0.0411,0.107
0.063082,-0.0786,0.0077,0.0344,0.086
0.066554,-0.0954,0.0193,0.0467,0.108
0.071694,-0.0980,0.0142,0.0541,0.113
0.076180,-0.0696,0.0163,0.0471,0.086
0.082906,-0.0582,0.0113,0.0474,0.076
0.086006,-0.0517,0.0087,0.0357,0.063
0.092327,-0.0168,0.0013,0.0241,0.029
0.096502,-0.0083,0.0178,0.0032,0.020
0.101365,0.0168,0.0056,0.0013,0.018
0.105912,0.0370,0.0055,-0.0195,0.042
0.111770,0.0357,0.0077,-0.0260,0.045
0.116345,0.0511,0.0075,-0.0276,0.059
0.121846,0.0498,0.0191,-0.0481,0.072
0.128642,0.0652,0.0141,-0.0424,0.079
0.130623,0.0662,-0.0052,-0.0368,0.076
0.136212,0.0578,0.0042,-0.0501,0.077
0.140716,0.0520,-0.0054,-0.0373,0.064
0.146740,0.0605,-0.0078,-0.0438,0.075
0.150701,0.0476,-0.0149,-0.0456,0.068
0.155494,0.0515,0.0042,-0.0428,0.067
0.160430,0.0435,-0.0077,-0.0449,0.063
0.165712,0.0190,-0.0194,-0.0448,0.052
0.170387,0.0232,-0.0238,-0.0449,0.056
0.176033,0.0013,0.0098,-0.0356,0.037
0.179952,0.0104,0.0099,-0.0598,0.062
0.185625,0.0147,0.0244,-0.0626,0.069
0.189955,0.0355,0.0174,-0.0441,0.059
0.195632,0.0563,0.0057,-0.0472,0.074
0.199954,0.0722,0.0155,-0.0407,0.084
0.206032,0.1261,-0.0033,0.0013,0.126
0.209749,0.1346,-0.0007,0.0384,0.140
0.214881,0.1528,-0.0052,0.0563,0.163
0.220411,0.1734,-0.0193,0.1101,0.206
0.225123,0.1679,-0.0049,0.1399,0.219
0.230005,0.1840,-0.0097,0.1628,0.246
0.234491,0.1740,-0.0146,0.1477,0.229
0.239635,0.1405,-0.0005,0.1450,0.202
0.244571,0.1572,-0.0056,0.1020,0.187
0.249686,0.1193,-0.0249,0.0808,0.146
0.254397,0.1198,-0.0131,0.0429,0.128
0.260395,0.0990,-0.0108,-0.0140,0.101
0.264451,0.0664,-0.0488,-0.0541,0.099
0.269106,0.0744,-0.0483,-0.0944,0.130
0.274284,0.0658,-0.0524,-0.1255,0.151
0.278990,0.0501,-0.0658,-0.1188,0.145
0.284672,0.0488,-0.0624,-0.1102,0.136
0.288861,0.0191,-0.0495,-0.0899,0.104
0.294492,0.0014,-0.0367,-0.0436,0.057
0.298879,0.0004,-0.0169,-0.0093,0.019
0.304479,-0.0103,-0.0046,0.0253,0.028
0.308740,-0.0565,0.0146,0.0291,0.065
0.317286,-0.0763,0.0335,0.0263,0.087
0.319381,-0.0890,0.0379,0.0168,0.098
0.325105,-0.0875,0.0445,-0.0208,0.100
0.329744,-0.1028,0.0440,-0.0487,0.122
0.333774,-0.1133,0.0624,-0.0930,0.159
0.338526,-0.1071,0.0951,-0.0872,0.168
0.343171,-0.1249,0.0990,-0.0889,0.183
0.348409,-0.1023,0.0674,-0.0908,0.153
0.353783,-0.0894,0.0670,-0.0905,0.144
0.358047,-0.0719,0.0524,-0.0643,0.110
0.363552,-0.0807,0.0284,-0.0669,0.109
0.368209,-0.0824,-0.0025,-0.0410,0.092
0.372772,-0.0937,0.0097,-0.0177,0.096
0.380221,-0.0836,0.0122,-0.0302,0.090
0.391687,-0.0855,-0.0138,-0.0165,0.088
0.392283,-0.0709,-0.0063,-0.0146,0.073
0.392790,-0.0755,-0.0109,-0.0197,0.079
0.397773,-0.0588,-0.0297,0.0229,0.070
0.403346,-0.0494,-0.0318,0.0322,0.067
0.408024,-0.0258,-0.0149,0.0392,0.049
0.412181,-0.0047,-0.0267,0.0368,0.046
0.417300,-0.0051,-0.0432,0.0369,0.057
0.423250,0.0064,-0.0216,0.0061,0.023
0.427825,-0.0153,-0.0143,-0.0199,0.029
0.432051,-0.0226,0.0191,-0.0602,0.067
0.437261,-0.0370,0.0238,-0.0960,0.106
0.443989,-0.0560,0.0145,-0.1223,0.135
0.447161,-0.0632,0.0528,-0.1252,0.150
0.451883,-0.0893,0.0529,-0.0951,0.141
0.458221,-0.0846,0.0508,-0.0703,0.121
0.463253,-0.0824,0.0439,-0.0244,0.096
0.468161,-0.0922,0.0371,0.0307,0.104
0.472317,-0.0973,0.0065,0.0548,0.112
0.476877,-0.1097,-0.0240,0.0719,0.133
0.483074,-0.1055,-0.0377,0.0824,0.139
0.487227,-0.1228,-0.0491,0.0884,0.159
0.491823,-0.1187,-0.0653,0.0711,0.153
0.497005,-0.1123,-0.0719,0.0447,0.141
0.502880,-0.1132,-0.0524,0.0235,0.127
0.506568,-0.1283,-0.0568,0.0049,0.140
0.511236,-0.0911,-0.0470,-0.0065,0.103
0.516964,-0.0992,-0.0086,-0.0179,0.101
0.521308,-0.0620,-0.0157,-0.0293,0.070
0.526462,-0.0179,-0.0180,-0.0146,0.029
0.530850,0.0095,0.0036,-0.0217,0.024
0.536428,0.0489,0.0037,-0.0122,0.050
0.542038,0.0810,0.0299,-0.0174,0.088
0.547560,0.1061,0.0275,-0.0133,0.110
0.550843,0.1265,0.0466,-0.0284,0.138
0.555818,0.1304,0.0395,-0.0296,0.139
0.560701,0.1156,0.0325,-0.0286,0.123
0.565860,0.1082,0.0375,-0.0230,0.117
0.570480,0.1058,0.0378,-0.0011,0.112
0.575294,0.1129,0.0452,0.0087,0.122
0.580643,0.0822,0.0193,0.0184,0.086
0.585716,0.0778,0.0269,0.0399,0.092
0.590353,0.0642,0.0034,0.0543,0.084
0.595245,0.0507,-0.0080,0.0545,0.075
0.600402,0.0634,-0.0241,0.0833,0.107
0.605730,0.0523,-0.0283,0.0955,0.113
0.609975,0.0319,-0.0396,0.1125,0.123
0.615134,0.0212,-0.0295,0.1011,0.107
0.619973,0.0081,-0.0219,0.1112,0.114
0.624916,0.0118,-0.0168,0.1048,0.107
0.629810,-0.0083,-0.0403,0.1080,0.116
0.634762,-0.0092,-0.0208,0.1018,0.104
0.639563,-0.0008,-0.0206,0.1195,0.121
0.645222,-0.0138,-0.0369,0.0945,0.102
0.649648,-0.0292,-0.0319,0.0887,0.099
0.654490,-0.0660,-0.0411,0.0761,0.109
0.659787,-0.0742,-0.0622,0.0613,0.115
0.664485,-0.0658,-0.0404,0.0491,0.091
0.669187,-0.1194,-0.0520,0.0109,0.131
0.674461,-0.1395,-0.0517,-0.0031,0.149
0.679201,-0.1502,-0.0489,-0.0077,0.158
0.684503,-0.1397,-0.0438,-0.0169,0.147
0.689551,-0.1389,-0.0340,-0.0189,0.144
0.693983,-0.1119,-0.0148,0.0028,0.113
0.699317,-0.0994,0.0019,0.0197,0.101
0.704556,-0.0965,0.0327,0.0293,0.106
0.708829,-0.0675,0.0157,0.0579,0.090
0.716437,-0.0623,0.0225,0.0651,0.093
0.718821,-0.0571,0.0269,0.0532,0.083
0.724860,-0.0351,0.0122,0.0415,0.056
0.728650,-0.0109,0.0143,0.0179,0.025
0.733723,0.0015,0.0117,0.0136,0.018
0.739088,0.0138,0.0161,0.0188,0.028
0.743848,0.0238,-0.0008,0.0001,0.024
0.748579,0.0409,0.0157,-0.0090,0.045
0.753295,0.0602,0.0155,-0.0134,0.064
0.758423,0.0818,0.0176,-0.0249,0.087
0.763431,0.0747,0.0197,-0.0245,0.081
0.768117,0.0844,0.0195,-0.0193,0.089
0.773106,0.0822,0.0098,-0.0095,0.083
0.778454,0.0752,0.0096,0.0003,0.076
0.783217,0.0635,0.0070,0.0173,0.066
0.787851,0.0590,0.0091,0.0319,0.068
0.793091,0.0165,-0.0197,0.0228,0.034
0.797819,-0.0091,-0.0340,0.0329,0.048
0.803124,-0.0464,-0.0482,0.0050,0.067
0.807813,-0.0620,-0.0719,-0.0107,0.096
0.812686,-0.0491,-0.0550,-0.0215,0.077
0.818564,-0.0576,-0.0264,-0.0273,0.069
0.823198,-0.0519,-0.0004,-0.0520,0.074
0.827341,-0.0582,-0.0150,-0.0694,0.092
0.832514,-0.0290,0.0156,-0.0653,0.073
0.837584,-0.0357,0.0364,-0.0682,0.085
0.843170,-0.0044,0.0500,-0.0616,0.079
0.847351,0.0170,0.0515,-0.0669,0.086
0.852365,0.0787,0.0578,-0.0388,0.105
0.857241,0.0947,0.0544,-0.0369,0.115
0.863250,0.1011,0.0535,-0.0040,0.114
0.867029,0.1121,0.0453,0.0122,0.122
0.872185,0.1065,0.0491,0.0450,0.126
0.878628,0.1008,0.0361,0.0445,0.116
0.890211,0.0880,0.0232,0.0514,0.105
0.890941,0.0872,0.0056,0.0796,0.118
0.891750,0.0626,-0.0166,0.0793,0.102
0.896848,0.0358,-0.0482,0.0958,0.113
0.903086,0.0045,-0.0819,0.1028,0.131
0.906601,0.0068,-0.0941,0.1146,0.148
0.911691,-0.0218,-0.1109,0.1193,0.164
0.916952,-0.0145,-0.1181,0.1407,0.184
0.923526,-0.0475,-0.1372,0.1455,0.206
0.926272,-0.0422,-0.1253,0.1576,0.206
0.931371,-0.0700,-0.1397,0.1508,0.217
0.937109,-0.0620,-0.1541,0.1396,0.217
0.943325,-0.0468,-0.1613,0.1477,0.224
0.946224,-0.0507,-0.1614,0.1488,0.225
0.950940,-0.0545,-0.1639,0.1360,0.220
0.956196,-0.0487,-0.1641,0.1378,0.220
0.961248,-0.0525,-0.1716,0.1398,0.227
0.966107,-0.0445,-0.1600,0.1350,0.214
0.970808,-0.0579,-0.1438,0.1114,0.191
0.975822,-0.0714,-0.0922,0.0952,0.151
0.981075,-0.0922,-0.0790,0.0697,0.140
0.985747,-0.0820,-0.0374,0.0468,0.102
0.990742,-0.0697,-0.0009,0.0217,0.073
0.995536,-0.0768,0.0234,-0.0080,0.081
1.000880,-0.0792,0.0500,-0.0114,0.094
1.006485,-0.0746,0.0598,-0.0363,0.102
1.010441,-0.0655,0.0837,-0.0777,0.132
1.015235,-0.0519,0.1076,-0.1000,0.156
1.020427,-0.0242,0.1289,-0.0986,0.164
1.028624,-0.0324,0.1407,-0.1259,0.192
1.030439,-0.0406,0.1809,-0.1294,0.226
1.035409,-0.0108,0.1828,-0.1285,0.224
1.040154,-0.0097,0.1659,-0.1326,0.213
1.045473,-0.0016,0.1681,-0.1011,0.196
1.050154,0.0040,0.1394,-0.0700,0.156
1.054930,-0.0023,0.1324,-0.0416,0.139
1.060422,-0.0229,0.1183,0.0128,0.121
1.065018,-0.0313,0.1042,0.0527,0.121
1.069684,-0.0302,0.0974,0.0545,0.116
1.074840,-0.0173,0.0763,0.0515,0.094
1.080034,-0.0093,0.0649,0.0463,0.080
1.085103,0.0106,0.0560,0.0362,0.068
1.089696,0.0233,0.0330,0.0118,0.042
1.094758,0.0479,0.0340,0.0016,0.059
1.100362,0.0724,-0.0005,0.0030,0.072
1.104701,0.1016,0.0080,0.0278,0.106
1.109381,0.1164,-0.0143,0.0333,0.122
1.114622,0.1527,-0.0388,0.0672,0.171
1.119007,0.1651,-0.0442,0.0962,0.196
1.124163,0.1730,-0.0614,0.1085,0.213
1.129035,0.1597,-0.0929,0.1399,0.232
1.134011,0.1348,-0.1099,0.1477,0.228
1.139951,0.1223,-0.1149,0.1343,0.215
1.143696,0.0911,-0.1248,0.1142,0.192
1.148823,0.0865,-0.1228,0.1065,0.184
1.153987,0.0491,-0.1351,0.0727,0.161
1.158658,0.0335,-0.1212,0.0321,0.130
1.163522,0.0184,-0.0907,-0.0038,0.093
1.168569,-0.0009,-0.0912,0.0078,0.092
1.173538,-0.0222,-0.0679,-0.0024,0.071
1.178649,-0.0406,-0.0566,-0.0178,0.072
1.183538,-0.0586,-0.0380,-0.0074,0.070
1.188177,-0.0740,-0.0077,-0.0189,0.077
1.193036,-0.0868,0.0272,-0.0091,0.091
1.198086,-0.1067,0.0453,-0.0163,0.117
1.202921,-0.1098,0.0656,-0.0259,0.131
1.207836,-0.1084,0.0929,-0.0380,0.148
1.212986,-0.1405,0.1248,-0.0357,0.191
1.218130,-0.1251,0.1493,-0.0454,0.200
1.223608,-0.1270,0.1546,-0.0551,0.207
1.227861,-0.1054,0.1528,-0.0695,0.198
1.232768,-0.0677,0.1392,-0.0768,0.173
1.237768,-0.0472,0.1257,-0.0723,0.152
1.243157,-0.0175,0.1195,-0.0775,0.144
1.247470,0.0117,0.0992,-0.0733,0.124
1.252307,0.0500,0.0958,-0.0622,0.125
1.257643,0.0809,0.0710,-0.0680,0.127
1.262659,0.0783,0.0844,-0.0572,0.129
1.266995,0.0877,0.0361,-0.0633,0.114
1.272045,0.0708,0.0523,-0.0528,0.103
1.277069,0.0825,0.0422,-0.0544,0.107
1.282922,0.0513,0.0417,-0.0250,0.071
1.287197,0.0131,0.0223,0.0017,0.026
1.291766,-0.0250,0.0124,0.0118,0.030
1.296669,-0.0488,0.0003,0.0267,0.056
1.302883,-0.0846,-0.0142,0.0417,0.095
1.307028,-0.0848,-0.0429,0.0640,0.115
1.311695,-0.1067,-0.0524,0.0840,0.146
1.317163,-0.1144,-0.0667,0.0638,0.147
1.322724,-0.0987,-0.0927,0.0629,0.149
1.326415,-0.0953,-0.0877,0.0551,0.141
1.331435,-0.0897,-0.0875,0.0617,0.140
1.336424,-0.0605,-0.0826,0.0517,0.115
1.342478,-0.0221,-0.0801,0.0584,0.102
1.346351,0.0043,-0.0753,0.0438,0.087
1.351132,0.0328,-0.0397,0.0459,0.069
1.356432,0.0781,-0.0471,0.0457,0.102
1.362262,0.0996,-0.0022,0.0361,0.106
1.365862,0.1142,-0.0219,0.0337,0.121
1.370835,0.1102,0.0014,0.0242,0.113
1.377898,0.0970,0.0007,0.0289,0.101
1.389710,0.1030,-0.0024,0.0171,0.104
1.390225,0.1022,-0.0126,0.0077,0.103
1.390709,0.0825,0.0082,-0.0087,0.083
1.395520,0.0893,0.0098,-0.0274,0.094
1.400505,0.0630,0.0186,-0.0484,0.082
1.405797,0.0418,-0.0060,-0.0551,0.069
1.410505,0.0114,0.0196,-0.0642,0.068
1.416061,0.0073,0.0141,-0.0901,0.091
1.420707,-0.0230,0.0229,-0.0874,0.093
1.425356,-0.0174,0.0317,-0.0943,0.101
1.430075,-0.0213,0.0167,-0.0918,0.096
1.435312,-0.0251,0.0280,-0.0988,0.106
1.439947,-0.0408,0.0273,-0.0892,0.102
1.445535,-0.0539,0.0362,-0.0893,0.110
1.450150,-0.0431,0.0188,-0.0871,0.099
1.455043,-0.0466,0.0207,-0.0851,0.099
1.459789,-0.0548,0.0107,-0.0760,0.094
1.465030,-0.0535,0.0055,-0.0553,0.077
1.469720,-0.0592,0.0100,-0.0420,0.073
1.474776,-0.0554,-0.0023,-0.0408,0.069
1.479758,-0.0730,-0.0238,-0.0183,0.079
1.485113,-0.0715,-0.0049,-0.0031,0.072
1.489499,-0.0654,-0.0193,0.0214,0.072
1.494644,-0.0855,-0.0360,0.0506,0.106
1.499470,-0.0912,-0.0099,0.0584,0.109
1.504328,-0.0756,-0.0244,0.0852,0.116
1.509510,-0.0864,-0.0317,0.0953,0.132
1.514323,-0.0877,-0.0081,0.0938,0.129
1.520886,-0.0677,-0.0156,0.1091,0.129
1.524495,-0.0693,-0.0374,0.0936,0.122
1.529213,-0.0566,-0.0305,0.0784,0.101
1.534059,-0.0394,-0.0427,0.0825,0.101
1.539300,-0.0367,-0.0359,0.0558,0.076
1.544051,-0.0484,-0.0315,0.0484,0.075
1.549381,-0.0482,-0.0367,0.0245,0.065
1.554095,-0.0386,-0.0204,0.0221,0.049
1.558660,-0.0434,-0.0280,-0.0017,0.052
1.563615,-0.0412,0.0120,-0.0087,0.044
1.568663,-0.0177,0.0066,-0.0300,0.035
1.573540,-0.0229,0.0226,-0.0584,0.067
1.578717,-0.0163,0.0290,-0.0629,0.071
1.583728,0.0020,0.0329,-0.0578,0.067
1.588325,0.0131,0.0298,-0.0506,0.060
1.593343,-0.0045,0.0315,-0.0672,0.074
1.598402,0.0278,0.0094,-0.0744,0.080
1.603181,0.0266,-0.0077,-0.0958,0.100
1.608153,0.0397,-0.0151,-0.0838,0.094
1.613315,0.0479,-0.0249,-0.1031,0.116
1.618273,0.0347,-0.0392,-0.0938,0.107
1.623063,0.0407,-0.0487,-0.0704,0.095
1.628021,0.0372,-0.0366,-0.0688,0.086
1.632889,0.0147,-0.0365,-0.0602,0.072
1.637626,0.0352,-0.0269,-0.0517,0.068
1.643037,0.0318,-0.0459,-0.0338,0.065
1.647709,0.0332,-0.0362,-0.0280,0.057
1.652782,0.0489,-0.0336,-0.0271,0.065
1.657995,0.0573,0.0068,-0.0285,0.064
1.662819,0.0705,-0.0053,-0.0156,0.072
1.667384,0.0765,0.0112,-0.0005,0.077
1.672469,0.0516,0.0015,0.0002,0.052
1.677275,0.0697,0.0084,-0.0251,0.075
1.682985,0.0520,0.0343,-0.0122,0.063
1.687406,0.0250,0.0172,-0.0233,0.038
1.692155,0.0409,0.0382,-0.0248,0.061
1.696940,0.0306,0.0188,-0.0073,0.037
1.702929,0.0157,0.0351,-0.0019,0.039
1.706972,0.0222,0.0323,0.0034,0.039
1.712038,0.0192,0.0153,0.0133,0.028
1.716972,0.0280,0.0199,0.0231,0.041
1.722914,0.0202,-0.0160,0.0043,0.026
1.726722,-0.0137,-0.0206,0.0116,0.027
1.732089,-0.0307,-0.0181,-0.0120,0.038
1.736625,-0.0382,-0.0417,-0.0167,0.059
1.742833,-0.0670,-0.0413,-0.0310,0.085
1.746653,-0.0767,-0.0384,-0.0335,0.092
1.751618,-0.0840,-0.0379,-0.0315,0.097
1.756262,-0.0914,-0.0255,-0.0200,0.097
1.762531,-0.0917,-0.0251,0.0127,0.096
1.766208,-0.0777,-0.0224,0.0620,0.102
1.771302,-0.0829,-0.0055,0.1064,0.135
1.776452,-0.0739,-0.0031,0.1247,0.145
1.782460,-0.0436,0.0134,0.1505,0.157
1.786063,-0.0396,0.0296,0.1244,0.134
1.791387,-0.0332,0.0147,0.1347,0.140
1.795791,-0.0293,0.0425,0.1075,0.119
1.800798,-0.0040,0.0201,0.0760,0.079
1.805986,0.0093,0.0406,0.0307,0.052
1.810944,0.0249,0.0230,0.0192,0.039
1.817544,0.0309,0.0103,-0.0257,0.041
1.820859,0.0486,0.0214,-0.0607,0.081
1.825753,0.0447,0.0040,-0.0935,0.104
1.830722,0.0599,-0.0084,-0.1095,0.125
1.835640,0.0489,-0.0301,-0.1471,0.158
1.841349,0.0570,-0.0231,-0.1538,0.166
1.845592,0.0532,-0.0469,-0.1608,0.176
1.850417,0.0520,-0.0491,-0.1750,0.189
1.855107,0.0294,-0.0323,-0.1609,0.167
1.860093,-0.0238,0.0248,-0.1493,0.153
1.865977,-0.0553,0.0174,-0.1618,0.172
1.870154,-0.0722,0.0171,-0.1433,0.161
1.874951,-0.0772,0.0502,-0.1441,0.171
1.888807,-0.0823,0.0616,-0.1452,0.178
1.889232,-0.0612,0.0825,-0.1582,0.189
1.889881,-0.0451,0.0890,-0.1453,0.176
1.894671,-0.0219,0.0884,-0.1397,0.167
1.899800,0.0082,0.0831,-0.1437,0.166
1.904799,0.0096,0.0944,-0.1383,0.168
1.909722,0.0561,0.0986,-0.1235,0.168
1.914387,0.0834,0.0979,-0.1183,0.175
1.919617,0.1059,0.0687,-0.1012,0.162
1.924984,0.1141,0.0375,-0.0962,0.154
1.929646,0.1294,0.0397,-0.0793,0.157
1.935110,0.1283,0.0228,-0.0624,0.145
1.939231,0.1179,0.0251,-0.0695,0.139
1.944491,0.1005,-0.0177,-0.0551,0.116
1.949402,0.1071,-0.0246,-0.0575,0.124
1.953954,0.0686,-0.0266,-0.0457,0.087
1.959055,0.0661,-0.0239,-0.0459,0.084
1.964141,0.0423,-0.0378,-0.0202,0.060
1.969076,0.0067,-0.0420,-0.0304,0.052
1.973789,0.0071,-0.0201,-0.0169,0.027
1.979239,-0.0284,-0.0196,0.0058,0.035
1.983821,-0.0327,-0.0120,0.0211,0.041
1.988640,-0.0418,0.0121,0.0315,0.054
1.993623,-0.0484,0.0076,0.0395,0.063
1.998396,-0.0550,0.0221,0.0450,0.074
2.003492,-0.0237,-0.0039,0.0339,0.042
2.008566,-0.0258,0.0225,0.0421,0.054
2.013224,-0.0280,0.0226,0.0288,0.046
2.018610,-0.0562,0.0226,0.0110,0.062
2.023450,-0.0652,0.0036,0.0053,0.066
2.028395,-0.0529,0.0015,-0.0242,0.058
2.033126,-0.0430,-0.0126,-0.0225,0.050
2.038182,-0.0427,-0.0075,-0.0256,0.050
2.043127,-0.0163,-0.0190,-0.0478,0.054
2.047911,-0.0114,-0.0162,-0.0532,0.057
2.053011,-0.0210,-0.0134,-0.0422,0.049
2.058351,-0.0163,-0.0272,-0.0336,0.046
2.062797,-0.0164,-0.0076,-0.0300,0.035
2.067906,0.0025,0.0023,-0.0288,0.029
2.072556,0.0094,0.0027,-0.0064,0.012
2.077562,0.0209,0.0197,-0.0008,0.029
2.083026,0.0300,0.0080,0.0001,0.031
2.087551,0.0320,0.0226,0.0058,0.040
2.092412,0.0316,0.0109,0.0019,0.034
2.097564,0.0621,0.0135,0.0147,0.065
2.102797,0.0355,0.0161,0.0085,0.040
2.107588,0.0185,-0.0027,-0.0024,0.019
2.112369,0.0445,0.0167,-0.0085,0.048
2.117451,0.0276,0.0003,-0.0265,0.038
2.122823,0.0228,0.0173,-0.0183,0.034
2.127549,0.0180,-0.0181,-0.0316,0.041
2.131997,0.0323,-0.0199,-0.0402,0.055
2.136980,0.0251,-0.0003,-0.0252,0.036
2.143026,0.0274,0.0192,-0.0269,0.043
2.146861,0.0250,0.0220,-0.0264,0.042
2.151739,0.0154,0.0223,-0.0093,0.029
2.156795,0.0273,0.0179,-0.0209,0.039
2.162864,0.0201,0.0041,-0.0134,0.025
2.166728,0.0129,0.0046,-0.0084,0.016
2.171606,0.0177,-0.0044,0.0039,0.019
2.176772,0.0177,-0.0182,-0.0005,0.025
2.183029,0.0058,-0.0246,0.0165,0.030
2.186634,0.0083,-0.0264,0.0146,0.031
2.191466,-0.0011,-0.0138,0.0056,0.015
2.196293,-0.0128,-0.0347,0.0039,0.037
2.202544,-0.0149,-0.0055,0.0047,0.017
2.206184,-0.0074,0.0020,-0.0134,0.015
2.211155,0.0047,0.0047,-0.0005,0.007
2.218075,0.0002,-0.0021,-0.0018,0.003
2.222307,0.0053,0.0054,-0.0198,0.021
2.226147,-0.0157,-0.0015,-0.0281,0.032
2.230922,-0.0128,0.0084,-0.0197,0.025
2.235908,-0.0147,-0.0032,-0.0234,0.028
2.240679,-0.0167,-0.0028,-0.0150,0.023
2.246108,-0.0091,0.0189,-0.0210,0.030
2.250985,0.0103,0.0072,-0.0056,0.014
2.255734,-0.0061,-0.0210,-0.0116,0.025
2.260848,-0.0034,-0.0182,-0.0104,0.021
2.265532,0.0039,-0.0344,0.0052,0.035
2.270431,0.0016,-0.0504,-0.0054,0.051
2.275744,0.0112,-0.0545,0.0056,0.056
2.281724,0.0420,-0.0491,0.0046,0.065
2.285809,0.0536,-0.0319,0.0157,0.064
2.290297,0.0673,-0.0457,0.0101,0.082
2.295148,0.0786,-0.0380,0.0000,0.087
2.300070,0.0827,-0.0400,-0.0027,0.092
2.305420,0.0892,0.0008,-0.0053,0.089
2.309936,0.0837,-0.0063,0.0184,0.086
2.314838,0.1116,-0.0110,0.0159,0.113
2.320126,0.1156,0.0103,0.0136,0.117
2.325514,0.1029,0.0125,0.0234,0.106
2.329719,0.1191,-0.0091,0.0310,0.123
2.334950,0.1257,-0.0021,0.0030,0.126
2.339731,0.1085,0.0048,0.0014,0.109
2.344801,0.1036,-0.0003,-0.0167,0.105
2.350145,0.1130,0.0042,-0.0348,0.118
2.354582,0.0964,0.0349,-0.0457,0.112
2.359465,0.0824,0.0392,-0.0615,0.110
2.364776,0.0684,0.0720,-0.0893,0.134
2.369390,0.0381,0.0548,-0.0959,0.117
2.374195,0.0483,0.0592,-0.1099,0.134
2.389289,0.0228,0.0731,-0.0883,0.117
2.390051,0.0307,0.0751,-0.0934,0.124
2.390395,0.0266,0.0368,-0.0748,0.088
2.394021,0.0343,0.0130,-0.0351,0.051
2.398861,0.0419,0.0108,-0.0147,0.046
2.404163,0.0375,-0.0127,-0.0014,0.040
2.408836,0.0522,-0.0386,0.0263,0.070
2.414132,0.0359,-0.0714,0.0469,0.093
2.419017,0.0222,-0.0708,0.0726,0.104
2.423861,0.0299,-0.0727,0.0793,0.112
2.428562,0.0234,-0.0699,0.0697,0.101
2.434491,0.0288,-0.0719,0.0629,0.100
2.438558,0.0128,-0.0621,0.0396,0.075
2.443669,0.0136,-0.0405,0.0405,0.059
2.448428,0.0168,-0.0192,0.0010,0.026
2.453219,0.0105,-0.0194,-0.0263,0.034
2.458457,0.0136,-0.0100,-0.0297,0.034
2.463586,0.0096,0.0182,-0.0260,0.033
2.468415,-0.0039,0.0154,-0.0199,0.025
2.473038,-0.0031,0.0221,-0.0187,0.029
2.478180,-0.0379,0.0169,-0.0293,0.051
2.483486,-0.0463,0.0117,-0.0351,0.059
2.487811,-0.0666,0.0350,-0.0291,0.081
2.493182,-0.0748,0.0297,-0.0564,0.098
2.498069,-0.0948,0.0435,-0.0576,0.119
2.503032,-0.0815,0.0407,-0.0757,0.118
2.507717,-0.0826,0.0450,-0.1009,0.138
2.512710,-0.1050,0.0660,-0.1096,0.165
2.518466,-0.0727,0.0750,-0.1019,0.146
2.523349,-0.0835,0.0721,-0.0851,0.139
2.527589,-0.0847,0.0765,-0.0876,0.144
2.532304,-0.0718,0.0998,-0.0688,0.141
2.537489,-0.0566,0.0755,-0.0456,0.105
2.543042,-0.0297,0.0728,-0.0178,0.081
2.547132,-0.0173,0.0463,-0.0091,0.050
2.552303,-0.0074,0.0200,0.0280,0.035
2.557079,-0.0143,0.0272,0.0436,0.053
2.563041,0.0120,-0.0323,0.0640,0.073
2.567130,0.0168,-0.0508,0.0558,0.077
2.571944,0.0263,-0.0503,0.0740,0.093
2.576967,0.0119,-0.0760,0.0565,0.095
2.583236,0.0071,-0.0801,0.0559,0.098
2.586747,-0.0024,-0.0841,0.0767,0.114
2.591996,-0.0191,-0.0811,0.0666,0.107
