time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003971,0.0410,-0.1399,-0.0610,0.158
0.020179,0.0303,-0.0699,-0.0620,0.098
0.024394,-0.0076,-0.0293,-0.0777,0.083
0.041262,0.0082,-0.0845,-0.0197,0.087
0.043935,0.0152,-0.1319,0.0533,0.143
0.055932,0.0060,-0.1171,0.0714,0.137
0.063760,-0.0096,-0.1405,0.0175,0.142
0.074642,-0.0278,-0.1852,-0.0225,0.189
0.083632,-0.0053,-0.2430,-0.0442,0.247
0.094075,-0.0082,-0.2479,-0.0544,0.254
0.104484,-0.0178,-0.2018,-0.0525,0.209
0.115431,0.0309,-0.1761,-0.0679,0.191
0.123075,0.0527,-0.1524,-0.0770,0.179
0.133030,0.0592,-0.1309,-0.1083,0.180
0.143309,0.0621,-0.1264,-0.1118,0.180
0.153587,0.0596,-0.1345,-0.1304,0.197
0.162532,0.0882,-0.1463,-0.1514,0.228
0.172682,0.1078,-0.1693,-0.1545,0.253
0.182845,0.1247,-0.2057,-0.1399,0.278
0.193647,0.1428,-0.2035,-0.1399,0.285
0.202591,0.1617,-0.2400,-0.1360,0.320
0.214599,0.1656,-0.2670,-0.0915,0.327
0.222734,0.1930,-0.2606,-0.0232,0.325
0.232765,0.2961,-0.2099,0.0844,0.373
0.241855,0.0226,-0.0398,0.0071,0.046
0.251972,0.0146,0.0106,-0.1930,0.194
0.264527,0.1804,-0.0633,-0.2187,0.290
0.271786,0.1410,-0.1174,-0.1775,0.255
0.283540,0.1017,-0.1557,-0.1217,0.222
0.291310,0.1440,-0.1158,-0.0736,0.199
0.301805,0.1608,-0.1676,-0.0719,0.243
0.310910,0.1213,-0.2636,-0.1272,0.317
0.321294,0.0643,-0.3245,-0.1755,0.374
0.330979,0.0485,-0.3343,-0.2144,0.400
0.342207,0.0537,-0.3361,-0.0596,0.346
0.355136,0.0539,-0.3411,0.0876,0.356
0.361419,0.0533,-0.3712,0.1550,0.406
0.370457,0.0353,-0.3740,0.0654,0.381
0.380708,0.0212,-0.3226,-0.0594,0.329
0.391133,0.0615,-0.2619,-0.0598,0.276
0.399823,0.1051,-0.2711,0.1238,0.316
0.410144,0.1522,-0.3177,0.3836,0.521
0.421440,0.1777,-0.3801,0.5806,0.716
0.429798,0.1808,-0.4954,0.6483,0.836
