time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000633,-0.0313,-0.1147,-0.1570,0.197
0.007088,-0.0029,-0.1187,-0.1190,0.168
0.016025,0.0254,-0.0495,-0.0819,0.099
0.025055,0.0274,-0.0418,-0.0501,0.071
0.035400,0.0284,-0.0078,-0.0435,0.053
0.046658,0.0092,0.0370,-0.0070,0.039
0.054988,0.0198,-0.0537,-0.0080,0.058
0.065409,0.0366,-0.2115,0.0102,0.215
0.075226,0.0154,-0.2949,0.0322,0.297
0.084571,0.0052,-0.2555,0.0475,0.260
0.094610,-0.0111,-0.2032,0.0726,0.216
0.104307,-0.0366,-0.2310,0.0902,0.251
0.115590,-0.0826,-0.2535,0.1036,0.286
0.126844,-0.0973,-0.2509,0.0759,0.280
0.135873,-0.1199,-0.2279,0.0098,0.258
0.144962,-0.0944,-0.2071,-0.0026,0.228
0.154858,-0.0574,-0.1878,0.0106,0.197
0.164117,0.0039,-0.1624,0.0064,0.163
0.174472,0.0587,-0.1714,-0.0361,0.185
0.183383,0.1026,-0.1522,0.0017,0.184
0.194602,0.1480,-0.1849,0.0139,0.237
0.204866,0.1910,-0.1808,0.0362,0.266
0.214330,0.2121,-0.1685,0.0637,0.278
0.226441,0.2246,-0.1840,0.0145,0.291
0.233524,0.2163,-0.1955,-0.0412,0.294
0.243860,0.1950,-0.2306,-0.0796,0.312
0.254521,0.1663,-0.2528,-0.0993,0.319
0.263122,0.1414,-0.2415,-0.1230,0.306
0.273042,0.1132,-0.2244,-0.0864,0.266
0.284624,0.0711,-0.2099,-0.0205,0.223
0.293530,0.0330,-0.2040,0.0543,0.214
0.305305,-0.0206,-0.1496,0.1035,0.183
0.317166,-0.0580,-0.1485,0.0864,0.181
0.323961,-0.0995,-0.1771,0.0421,0.207
0.332557,-0.1525,-0.2103,-0.0217,0.261
0.344515,-0.1717,-0.2564,-0.0496,0.312
0.351906,-0.1850,-0.2870,-0.0627,0.347
0.362183,-0.1849,-0.3230,0.0192,0.373
0.372610,-0.1684,-0.3177,0.1179,0.378
0.384072,-0.1319,-0.2568,0.0934,0.303
0.395918,-0.0933,-0.1906,0.0629,0.221
0.401819,-0.0552,-0.1482,0.0952,0.185
0.411618,-0.0191,-0.1525,0.1247,0.198
0.422060,0.0404,-0.1592,-0.0011,0.164
0.433925,0.0800,-0.1222,-0.1941,0.243
0.441414,0.0743,-0.1420,-0.2759,0.319
0.451249,0.1023,-0.1659,-0.2248,0.297
0.461953,0.1204,-0.2246,-0.0988,0.273
0.473969,0.1623,-0.2729,-0.0042,0.318
0.486380,0.1851,-0.2477,0.0036,0.309
0.491141,0.2152,-0.2542,-0.0554,0.338
0.501151,0.2317,-0.2263,-0.1339,0.351
0.510289,0.2507,-0.2051,-0.2373,0.402
0.520408,0.2464,-0.1683,-0.3125,0.432
0.530424,0.2501,-0.1742,-0.3403,0.457
0.540782,0.2363,-0.1838,-0.3211,0.439
0.552310,0.2207,-0.1723,-0.2903,0.403
0.563750,0.2253,-0.1465,-0.2720,0.382
0.576275,0.2301,-0.0894,-0.2265,0.335
0.580226,0.1897,-0.1000,-0.1747,0.277
0.590452,0.1550,-0.1724,-0.1282,0.265
0.599551,0.1342,-0.2207,-0.0760,0.269
0.610279,0.1217,-0.2335,-0.1282,0.293
0.619570,0.1157,-0.2390,-0.2501,0.365
0.632040,0.1167,-0.2455,-0.2929,0.400
0.642251,0.1074,-0.3045,-0.2059,0.383
0.650269,0.0822,-0.3208,-0.0734,0.339
0.659467,0.0722,-0.2423,0.0409,0.256
0.669187,0.0931,-0.1675,0.0894,0.211
0.679038,0.1000,-0.1099,0.0689,0.164
0.689830,0.0535,-0.0943,0.0525,0.120
0.698794,0.0026,-0.0981,0.0697,0.120
0.708449,-0.0369,-0.1115,0.0407,0.124
0.719007,-0.0569,-0.1384,0.0066,0.150
0.730192,-0.0837,-0.1486,-0.0363,0.174
0.738572,-0.1185,-0.1751,-0.0735,0.224
0.748131,-0.1738,-0.1874,-0.0538,0.261
0.758219,-0.1952,-0.1719,-0.0998,0.279
0.769301,-0.2163,-0.1650,-0.1104,0.294
0.778137,-0.2382,-0.1052,-0.1161,0.285
0.788123,-0.2491,-0.0289,-0.1137,0.275
0.797389,-0.2438,0.0438,-0.1202,0.275
0.808626,-0.2255,0.0772,-0.1471,0.280
0.817279,-0.2141,0.0953,-0.1889,0.301
0.827306,-0.2087,0.0430,-0.2098,0.299
0.837889,-0.2198,-0.0441,-0.1463,0.268
0.847337,-0.2161,-0.1976,-0.0976,0.309
0.857139,-0.2296,-0.3215,-0.0554,0.399
0.873166,-0.2388,-0.3641,-0.0153,0.436
0.877936,-0.2282,-0.3674,0.0109,0.433
0.890751,-0.2362,-0.3596,-0.0470,0.433
0.898430,-0.2294,-0.3027,-0.0889,0.390
0.909366,-0.2273,-0.2129,-0.1298,0.337
0.916523,-0.2214,-0.1489,-0.1618,0.312
0.926581,-0.2813,-0.1376,-0.1657,0.354
0.937020,-0.3306,-0.1047,-0.1195,0.367
0.946186,-0.3213,-0.1131,-0.0726,0.348
0.956299,-0.3759,-0.1748,-0.0042,0.415
0.966326,-0.4413,-0.2418,0.0675,0.508
0.978041,-0.4270,-0.2949,0.1050,0.529
0.985847,-0.3786,-0.2533,0.0427,0.458
0.996543,-0.3221,-0.2014,0.0025,0.380
1.005831,-0.3116,-0.0886,0.0388,0.326
1.015968,-0.2359,-0.0223,0.1694,0.291
1.025579,-0.2283,0.0094,0.1912,0.298
1.036042,-0.3063,0.0338,0.1527,0.344
1.045620,-0.3837,0.0107,0.2128,0.439
1.058327,-0.4540,-0.0284,0.3569,0.578
1.067439,-0.4818,-0.1322,0.5199,0.721
1.074850,-0.4823,-0.2122,0.6253,0.818
1.085230,-0.4746,-0.3038,0.5996,0.823
1.095615,-0.3691,-0.4283,0.4728,0.737
1.104905,-0.3384,-0.3812,0.5004,0.714
1.114942,-0.4220,-0.3570,0.3520,0.655
1.124760,-0.3358,-0.3260,0.2741,0.542
1.135257,-0.1527,-0.3101,0.2673,0.437
1.147096,-0.0198,-0.3648,0.1399,0.391
1.156801,-0.0048,-0.4156,-0.0040,0.416
1.164541,-0.1037,-0.3805,0.0411,0.396
1.174015,-0.1526,-0.3687,-0.0068,0.399
1.183957,-0.2199,-0.4394,-0.0732,0.497
1.193592,-0.2602,-0.4932,-0.0007,0.558
1.203943,-0.2871,-0.5192,0.0778,0.598
1.213328,-0.2747,-0.6252,0.0932,0.689
1.224433,-0.2089,-0.7283,0.1177,0.767
1.237911,-0.1563,-0.7763,0.1760,0.811
1.243649,-0.1482,-0.7303,0.2481,0.785
1.253706,-0.1848,-0.6152,0.2319,0.683
1.263435,-0.1678,-0.4762,0.2005,0.543
1.272819,-0.2031,-0.3224,0.2383,0.449
1.283030,-0.2763,-0.2499,0.2604,0.454
1.293019,-0.2809,-0.2602,0.2795,0.474
1.304319,-0.2890,-0.3273,0.3573,0.564
1.318090,-0.2829,-0.3787,0.4218,0.634
1.326177,-0.2678,-0.3799,0.4587,0.653
1.332379,-0.2058,-0.2738,0.5222,0.625
1.342447,-0.1827,-0.1577,0.5331,0.585
1.352277,-0.1439,0.0145,0.4708,0.493
1.361979,-0.0102,0.1730,0.4186,0.453
1.371801,0.1486,0.2991,0.3169,0.460
1.382119,0.3327,0.4523,0.2712,0.624
1.392558,0.4936,0.6097,0.2765,0.832
1.404447,0.4933,0.6414,0.2055,0.835
1.412106,0.3354,0.5501,0.1739,0.667
1.421358,0.1503,0.2883,0.1559,0.361
1.431452,0.0454,-0.0141,0.1564,0.163
1.441370,-0.0770,-0.2923,0.1054,0.320
1.450857,-0.1995,-0.5657,-0.0089,0.600
1.461518,-0.3055,-0.7285,-0.0953,0.796
1.471122,-0.3622,-0.7573,-0.1912,0.861
1.483323,-0.3703,-0.7342,-0.3631,0.899
1.494787,-0.3161,-0.6411,-0.6070,0.938
1.500761,-0.1463,-0.5596,-0.9238,1.090
1.513678,0.0405,-0.4555,-1.1802,1.266
1.520556,0.2686,-0.3706,-1.3623,1.437
1.530365,0.5115,-0.3214,-1.4552,1.576
1.540566,0.6884,-0.3534,-1.3502,1.556
1.550369,0.7924,-0.4205,-1.1173,1.433
1.560392,0.8077,-0.4541,-0.8620,1.266
1.570889,0.7214,-0.4110,-0.6478,1.053
1.584783,0.6032,-0.2663,-0.4733,0.812
1.589785,0.5328,-0.0179,-0.3591,0.643
1.600071,0.5528,0.2065,-0.2880,0.657
1.610365,0.5988,0.2873,-0.4326,0.793
1.623618,0.5912,0.1836,-0.5159,0.806
1.630682,0.5308,0.0114,-0.3817,0.654
1.639185,0.4416,-0.0974,-0.1457,0.475
1.649360,0.2993,0.0056,0.1366,0.329
1.660819,0.1588,0.2547,0.5476,0.624
1.668955,0.1221,0.5711,1.0627,1.213
1.679277,0.1441,0.9043,1.4408,1.707
1.690938,0.1481,1.2369,1.4789,1.934
1.698731,0.1136,1.5319,1.1786,1.936
1.710614,0.0494,1.6780,0.7560,1.841
1.718475,-0.0120,1.6333,0.3156,1.664
1.728583,-0.1017,1.3710,-0.0159,1.375
1.741683,-0.1256,0.8854,-0.0906,0.899
1.752802,-0.0915,0.2011,0.0192,0.222
1.758347,-0.0144,-0.5526,0.2800,0.620
1.768324,0.0683,-1.2349,0.5453,1.352
1.778408,0.1017,-1.7529,0.7114,1.894
1.787748,0.1595,-2.0417,0.6943,2.162
1.800387,0.2129,-2.1225,0.5359,2.199
1.807546,0.3026,-2.0067,0.2786,2.048
1.818991,0.4085,-1.8035,-0.0015,1.849
1.830040,0.5024,-1.6062,-0.2574,1.702
1.839305,0.5965,-1.4383,-0.4608,1.624
1.847047,0.6821,-1.2487,-0.5481,1.525
1.857178,0.7413,-1.1603,-0.5606,1.487
1.874607,0.8080,-1.1146,-0.4974,1.464
1.877039,0.8611,-1.0714,-0.4435,1.444
1.887045,0.9058,-1.0623,-0.3946,1.451
1.896994,0.9143,-1.0951,-0.3586,1.471
1.909270,0.8556,-1.1191,-0.3256,1.446
1.919985,0.7592,-1.0608,-0.2338,1.325
1.926389,0.6951,-0.8885,-0.1096,1.133
1.936539,0.6778,-0.6604,0.0552,0.948
1.946419,0.6458,-0.4197,0.2331,0.805
1.956282,0.6319,-0.2786,0.4046,0.800
1.967682,0.6109,-0.1805,0.4684,0.791
1.976332,0.5719,-0.1335,0.4866,0.763
1.986274,0.5042,-0.1405,0.4565,0.694
1.996651,0.3245,-0.2680,0.4291,0.601
2.005519,0.0926,-0.4897,0.4193,0.651
2.016240,-0.0576,-0.8407,0.3664,0.919
2.025695,-0.2053,-1.2858,0.2672,1.329
2.035929,-0.3498,-1.7568,0.1578,1.798
2.045326,-0.4701,-2.2614,0.1180,2.313
2.056860,-0.5004,-2.7146,0.0529,2.761
2.065139,-0.4365,-3.0554,-0.0654,3.087
2.076536,-0.4122,-3.1892,-0.2680,3.227
2.088824,-0.3195,-3.1194,-0.3943,3.160
2.096128,-0.1198,-2.8527,-0.4435,2.889
2.105620,0.1212,-2.5292,-0.3948,2.563
2.114508,0.3199,-2.2034,-0.3134,2.248
2.124783,0.4731,-1.9120,-0.2332,1.983
2.134390,0.5120,-1.7149,-0.1908,1.800
2.144305,0.5015,-1.5857,-0.1796,1.673
2.156509,0.3769,-1.5894,-0.0829,1.636
2.173228,0.2918,-1.6691,0.0283,1.695
2.174224,0.2238,-1.8163,0.1475,1.836
2.184188,0.2232,-1.8667,0.2316,1.894
2.194479,0.2952,-1.6247,0.3332,1.685
2.206478,0.4651,-1.1117,0.5754,1.335
2.215528,0.6818,-0.6472,0.8433,1.263
2.223390,0.8192,-0.4235,1.0529,1.400
2.234479,0.8918,-0.4210,1.1872,1.543
2.246780,0.8212,-0.5943,1.0852,1.485
2.255316,0.6888,-0.8665,0.9247,1.442
2.263230,0.5738,-1.0587,0.7925,1.442
2.273400,0.5877,-1.1920,0.7422,1.522
2.283702,0.7270,-1.1875,0.7255,1.570
2.292882,0.8175,-1.0875,0.7679,1.562
2.302712,0.8547,-1.0259,0.8274,1.571
2.312564,0.8117,-1.0881,0.7827,1.567
2.322942,0.6071,-1.1265,0.8580,1.541
2.334057,0.2431,-1.0431,1.0251,1.483
2.342454,-0.1121,-0.7694,0.9948,1.263
2.356203,-0.2923,-0.1403,0.8085,0.871
2.362582,-0.4240,1.1371,0.5665,1.339
2.372184,-0.5853,2.5404,0.1661,2.612
2.382150,-0.5851,3.4288,-0.7134,3.551
2.391881,-0.4607,3.7317,-1.9103,4.217
2.403693,-0.2383,3.7141,-2.9026,4.720
2.411695,-0.0478,3.6686,-3.4096,5.009
2.426086,0.2332,3.5680,-3.2571,4.837
2.431526,0.6632,3.0087,-2.5343,3.989
2.444867,0.6194,1.3568,-1.5392,2.143
2.451900,-0.0941,-0.1816,0.1945,0.282
2.461170,-1.0894,-0.5473,2.1702,2.489
2.471199,-2.0132,0.4399,3.0843,3.709
2.480999,-2.8123,2.7056,2.9577,4.897
2.492245,-3.4836,5.2598,2.3411,6.729
2.502638,-3.6974,7.0196,1.6344,8.100
2.513652,-3.0824,7.9090,0.6125,8.511
2.520954,-1.9378,8.0146,-0.5933,8.267
2.531344,-0.8590,7.5536,-1.3527,7.722
2.541036,-0.2464,6.3492,-1.4233,6.511
2.550191,-0.0790,4.4182,-0.6685,4.469
2.560456,-0.0184,2.4827,0.5443,2.542
2.569945,0.0082,0.6626,1.2423,1.408
2.582801,-0.1384,-0.7960,1.1568,1.411
2.592279,-0.3318,-1.7591,0.4932,1.857
2.599775,-0.3691,-2.3286,-0.3171,2.379
2.609724,-0.2531,-2.5428,-1.0183,2.751
2.619871,-0.1637,-2.5625,-1.5322,2.990
2.631642,-0.0417,-2.5553,-1.8615,3.162
2.644161,0.0652,-2.5803,-2.0050,3.268
