time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000807,-0.0782,-0.2041,-0.1371,0.258
0.003371,-0.0794,-0.1549,-0.1387,0.223
0.013243,-0.0419,-0.1129,-0.0858,0.148
0.023199,-0.0010,-0.0827,-0.0684,0.107
0.033652,0.0026,-0.0471,-0.0695,0.084
0.043018,-0.0118,-0.0944,-0.0807,0.125
0.054526,-0.0207,-0.1473,-0.0503,0.157
0.063085,-0.0269,-0.1890,-0.0260,0.193
0.072811,-0.0011,-0.2216,-0.0248,0.223
0.083321,-0.0264,-0.2354,-0.0499,0.242
0.092671,-0.0561,-0.2656,-0.0649,0.279
0.102426,-0.0541,-0.2548,-0.0770,0.272
0.112169,-0.0529,-0.2391,-0.0900,0.261
0.122213,-0.0674,-0.2013,-0.0912,0.231
0.132877,-0.0947,-0.1542,-0.0823,0.199
0.144262,-0.0858,-0.1298,-0.0721,0.171
0.151871,-0.0734,-0.1624,-0.0500,0.185
0.161862,-0.0839,-0.2304,-0.0369,0.248
0.171758,-0.0732,-0.2421,-0.0496,0.258
0.181903,-0.0970,-0.2075,-0.0470,0.234
0.197262,-0.0950,-0.1986,-0.0259,0.222
0.201542,-0.0799,-0.2216,-0.0589,0.243
0.211509,-0.0927,-0.2056,-0.0691,0.236
0.222314,-0.0967,-0.1805,-0.0772,0.219
0.231214,-0.1079,-0.1665,-0.0943,0.220
0.241200,-0.1555,-0.2083,-0.0979,0.278
0.251271,-0.1746,-0.1797,-0.0829,0.264
0.260890,-0.1870,-0.1438,-0.0197,0.237
0.270629,-0.2095,-0.1056,0.0301,0.237
0.280851,-0.2284,-0.0942,0.0576,0.254
0.306017,-0.2390,-0.0984,0.0678,0.267
0.306398,-0.2608,-0.0799,0.0853,0.286
0.310895,-0.2763,-0.1047,0.0800,0.306
0.320739,-0.2904,-0.1579,0.0675,0.337
0.330359,-0.2559,-0.1381,0.0799,0.302
0.340018,-0.2137,-0.1673,0.0873,0.285
0.350023,-0.1890,-0.2091,0.0791,0.293
0.364359,-0.1686,-0.2431,0.1102,0.316
0.369919,-0.1819,-0.2542,0.1405,0.343
0.385855,-0.1615,-0.2620,0.1262,0.333
0.395578,-0.1562,-0.2754,0.1393,0.346
0.399501,-0.1443,-0.2539,0.1362,0.322
0.409466,-0.1362,-0.2315,0.1096,0.290
0.419424,-0.1256,-0.2286,0.1184,0.286
0.429726,-0.0923,-0.2413,0.1395,0.294
0.439114,-0.0978,-0.2614,0.1550,0.319
0.449980,-0.1524,-0.2388,0.1585,0.325
0.459934,-0.1790,-0.2278,0.1080,0.309
0.468847,-0.1960,-0.1921,0.1016,0.293
0.482274,-0.2375,-0.1085,0.0853,0.275
0.489540,-0.1835,-0.1122,0.1925,0.289
0.499829,-0.1911,-0.1320,0.2099,0.313
0.509162,-0.2573,-0.1636,0.1951,0.362
0.518393,-0.2326,-0.1819,0.1937,0.353
0.528461,-0.1504,-0.1846,0.2052,0.314
0.538122,-0.1279,-0.2352,0.2014,0.335
0.549642,-0.1670,-0.3204,0.1681,0.398
0.559136,-0.1386,-0.3223,0.1579,0.385
0.569270,-0.1234,-0.3449,0.1588,0.399
0.578196,-0.1376,-0.3401,0.1381,0.392
0.589401,-0.2280,-0.2108,0.1151,0.331
0.598733,-0.2732,-0.2051,0.0843,0.352
0.607619,-0.2572,-0.2134,0.0813,0.344
0.617741,-0.2540,-0.2384,0.1009,0.363
0.627700,-0.2141,-0.2666,0.1062,0.358
0.637308,-0.2264,-0.1630,0.0742,0.289
0.648536,-0.2080,0.0388,-0.0065,0.212
0.656976,-0.2289,0.0897,-0.0488,0.251
0.666873,-0.2673,-0.0643,-0.0751,0.285
0.677167,-0.1745,-0.1715,-0.1060,0.267
0.687203,-0.0385,-0.2416,-0.2205,0.329
0.701891,0.0416,-0.3332,-0.3322,0.472
